genes	DAL_1	DAL_2	DAL_3	DAL_4	DAL_5	DAL_6	DAL_7	DAL_8	DAL_9	DAL_10	V2_1	V2_2	V2_3	V2_4	V2_5	V2_6	V2_7	V2_8	V2_9	V2_10	AB_KCs_1	AB_KCs_2	AB_KCs_3	AB_KCs_4	AB_KCs_5	AB_KCs_6	AB_KCs_7	AB_KCs_8	AB_KCs_9	AB_KCs_10	G_KCs_1	G_KCs_2	G_KCs_3	G_KCs_4	G_KCs_5	G_KCs_6	G_KCs_7	G_KCs_8	G_KCs_9	G_KCs_10	G_KCs_11	G_KCs_12	V3_1	V3_2	V3_3	V3_4	V3_5	V3_6	V3_7	V3_8	V3_9	V3_10	R27_1	R27_2	R27_3	R27_4	R27_5	R27_6	R27_7	R27_8	G386_1	G386_2	G386_3	G386_4	G386_5	G386_6	G386_7	G386_8	G386_9	G386_10
mnb	212	697	449	1847	436	491	970	1163	1341	1136	776	1469	2033	1154	676	1552	874	1901	1596	1095	693	915	1562	1688	1084	1123	1512	1352	748	1185	1513	1843	2012	1493	2175	731	1741	2597	1797	2040	1270	2138	1403	1790	394	182	1598	1266	782	850	67	204	5	470	302	647	245	409	41	1159	47	900	529	456	629	408	352	63	2	42
Mob2	536	918	824	1388	453	303	882	804	928	837	2325	922	2672	993	1567	1244	1406	1693	1001	1442	1118	1584	1513	2589	1845	1699	1322	1797	874	1348	2743	3057	1478	1831	1976	755	2037	2791	2028	2249	1409	2158	1751	2028	1415	1660	5459	4489	878	1983	1920	1772	102	911	706	1427	420	2164	132	494	360	1890	2265	2519	598	1738	205	3938	125	1163
mol	10	1	0	8	37	0	0	13	0	57	0	46	47	0	0	0	0	0	0	48	22	0	0	0	0	3	0	7	0	0	0	0	0	1	6	0	0	0	0	4	1	4	0	0	0	0	0	0	0	0	25	0	0	87	66	0	0	2	0	0	36	1	1	2	0	27	6	0	0	213
mura	292	401	539	1414	463	1	680	1462	279	101	1699	1038	1249	1907	961	845	1401	1258	645	1500	990	1146	1525	2665	1699	891	1756	2479	1404	1635	2364	4041	2707	1919	2064	1026	2008	4973	2430	2601	1501	2108	378	1342	135	250	1771	721	699	765	358	498	234	52	202	1097	0	391	3	1859	448	112	547	697	133	22	304	305	0	0
N	240	315	1064	272	404	570	0	1358	450	620	598	820	524	255	894	134	607	244	462	1152	235	79	294	372	251	77	31	126	202	103	308	635	195	293	798	106	517	709	341	580	361	1025	141	872	1	291	3280	1007	396	149	310	492	423	121	3	170	0	132	95	1267	862	163	64	190	259	174	173	644	399	385
nemy	91	389	0	58	169	224	9	34	0	0	0	36	33	119	266	117	10	37	53	123	25	5	49	135	40	3	3	23	97	19	34	57	8	18	62	6	62	89	24	50	11	72	0	87	95	2	1	77	68	12	1	0	0	0	58	0	0	20	0	0	0	9	0	0	181	0	31	178	7	0
neur	256	292	603	3	0	0	0	747	10	0	289	77	202	592	239	82	679	539	93	255	267	526	392	561	404	210	157	244	166	495	414	492	223	211	390	228	416	661	356	530	326	285	108	4	510	713	327	52	384	186	8	8	12	146	46	0	1	1	0	359	0	0	0	1	61	47	0	385	360	0
Nf1	526	796	1577	5294	1536	922	1137	1562	1538	1062	3990	1950	2758	3520	3805	2959	2290	2225	2461	3373	1004	1811	1470	2557	2127	959	1729	1712	886	1350	2267	2802	2112	2340	3034	1306	2568	3454	2870	2661	2117	2835	1766	2557	1167	1673	3291	1378	775	1828	1736	3424	1848	1268	1093	983	621	1506	246	2029	1747	345	3761	1471	1278	2750	355	2774	448	288
Nipped-B	1495	3391	2105	7182	1008	1686	2275	4092	2857	1576	8333	5106	8004	5216	4988	5597	5879	8721	5071	4210	3121	8753	5293	10063	6845	5842	5781	5702	5457	4949	7808	11068	9099	8155	11696	3061	11460	11327	12467	12028	7208	10128	2572	4459	3174	2581	4827	2110	1131	3068	2409	1451	4396	2346	1227	2633	1649	1875	1889	1879	2253	765	5032	2846	3281	1560	684	3886	322	1
Nmdar1	177	308	522	597	688	1041	714	132	679	572	1092	585	1026	1064	846	829	328	311	491	679	679	675	770	1040	823	380	615	513	840	859	941	842	418	897	592	405	728	1012	553	904	686	848	470	1971	758	1102	1106	620	851	918	799	854	644	885	1141	778	585	949	0	2128	736	105	390	492	587	775	0	490	499	1
Nmdar2	3	7	110	241	153	7	13	39	21	4	1	269	649	519	0	118	737	144	130	177	11	35	74	125	52	0	150	105	15	6	58	317	271	70	92	22	109	313	173	162	129	129	6	134	243	4	348	82	18	138	6	472	15	10	13	19	0	13	0	270	6	0	111	0	36	10	0	124	0	0
Nrx-1	166	323	562	902	549	112	211	1024	528	216	947	565	1849	1544	983	609	1106	1202	383	883	827	540	1786	2000	602	1165	1467	2161	796	788	1397	2943	2112	1015	776	312	1391	3638	1669	1413	678	1390	233	975	311	122	826	370	848	435	316	225	172	244	97	699	245	199	5	58	18	2	34	100	250	70	89	1365	561	1
Nsun2	10	361	28	200	159	2	0	0	0	30	139	161	605	1	0	2	4	25	0	8	21	7	5	62	21	1	47	106	118	51	31	101	94	42	47	7	96	131	11	25	37	131	0	11	365	0	224	34	1	27	0	4	16	0	0	22	0	0	4	0	0	0	145	0	4	0	158	0	0	14
Oamb	180	0	450	1352	76	320	131	163	262	0	1396	804	860	761	1053	650	950	1043	242	784	1311	1549	2314	2777	1595	1882	1312	2941	2019	1965	1504	1868	1310	1185	1341	635	1261	3313	1326	1492	885	1619	409	397	195	45	465	171	303	122	4	1	0	0	134	115	0	0	0	0	4	0	15	4	186	278	338	6	5	0
orb2	2721	7412	2952	19064	1901	5247	10954	7298	4580	4312	20095	8440	11213	8251	13902	9847	7092	8902	9331	8372	6480	11000	9655	13683	11446	6057	10329	7121	5336	9083	15127	10860	10029	13053	16131	6821	12094	14619	12130	15490	10348	12070	8020	14475	6780	3965	7621	6805	4185	11568	4658	4941	5397	2573	5092	6179	2888	1557	1849	6349	6462	3167	9313	5934	5200	4606	1169	3703	6306	1080
