genes	DAL_1	DAL_2	DAL_3	DAL_4	DAL_5	DAL_6	DAL_7	DAL_8	DAL_9	DAL_10	V2_1	V2_2	V2_3	V2_4	V2_5	V2_6	V2_7	V2_8	V2_9	V2_10	AB_KCs_1	AB_KCs_2	AB_KCs_3	AB_KCs_4	AB_KCs_5	AB_KCs_6	AB_KCs_7	AB_KCs_8	AB_KCs_9	AB_KCs_10	G_KCs_1	G_KCs_2	G_KCs_3	G_KCs_4	G_KCs_5	G_KCs_6	G_KCs_7	G_KCs_8	G_KCs_9	G_KCs_10	G_KCs_11	G_KCs_12	V3_1	V3_2	V3_3	V3_4	V3_5	V3_6	V3_7	V3_8	V3_9	V3_10	R27_1	R27_2	R27_3	R27_4	R27_5	R27_6	R27_7	R27_8	G386_1	G386_2	G386_3	G386_4	G386_5	G386_6	G386_7	G386_8	G386_9	G386_10
spoon	651	733	2528	2082	1043	887	813	1252	1264	1570	1600	1067	676	1367	307	1132	2203	1013	399	1714	341	676	667	1456	684	986	769	516	1292	731	1116	1634	1514	883	1209	424	1276	1514	1163	1189	865	1490	642	1297	985	1256	2186	1133	660	970	940	476	1139	3616	5129	961	926	71	74	632	139	1264	772	3350	1679	979	837	260	447	166
sra	1397	787	1379	2088	1870	1280	1053	1915	1289	749	3298	2236	4702	3739	1712	2149	1594	1731	1376	2177	352	902	770	1749	892	734	810	935	380	602	1652	3387	1900	1234	2195	420	3784	1953	2514	1642	855	1971	695	1104	563	1864	3486	1525	1461	1531	157	3919	602	302	1025	1000	749	337	234	587	259	150	824	847	237	790	84	2504	995	108
Src64B	377	422	774	1702	869	745	427	915	27	332	1934	806	897	1579	1967	2355	1262	1157	792	1277	369	982	726	1306	757	658	499	880	995	790	1123	990	646	804	863	356	730	1729	1246	1140	683	1128	1683	765	410	422	426	662	1156	1033	692	399	345	16	493	140	1	901	158	0	0	134	1271	268	1	498	56	14	6	1
ss	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	85	3	0	56	0	0	0	105	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5
Stat92E	1918	2081	8673	4524	2733	6119	2127	1489	2563	1255	2316	2846	3939	2077	2779	1320	1576	2056	1752	1670	345	1827	719	2661	1645	459	940	1008	578	970	1876	2721	1823	2058	2895	949	2535	2006	2019	2709	2338	2928	3439	2035	777	1386	4286	1151	978	653	1625	1536	1090	4574	2472	2218	1086	1691	1731	1273	971	879	251	2365	2538	2165	1640	623	271	998
stau	1126	1820	936	3993	2002	1608	1700	2993	2019	1850	3761	1743	3020	2180	2385	890	2549	1069	1854	2899	1340	2059	2432	4533	3168	3199	2033	3863	1141	2126	3681	4458	2751	3143	2815	1185	2718	5980	3659	3320	2093	3852	1518	3453	2928	1676	3113	3016	1152	1881	1537	1628	1645	1736	1356	2677	403	2641	267	349	397	1505	2739	2242	1492	1828	202	3304	510	28
Su(H)	122	35	145	534	0	8	18	79	267	15	426	388	893	164	190	416	303	352	178	100	36	253	220	333	221	445	108	194	96	196	224	427	276	219	441	135	361	353	359	404	190	335	104	431	225	1	470	207	239	65	26	585	1	442	2	65	0	1	482	0	176	7	0	112	1	4	1	373	242	1
svr	7801	8917	9817	13977	8317	5252	4530	7213	6120	6361	10247	6263	13229	7926	10619	5180	4030	5549	3663	5212	2079	6460	3583	9495	7308	5780	4399	5256	2597	4311	7718	7457	7710	8858	8224	3011	9827	8508	6752	10166	5485	9076	5020	4353	9172	3944	7124	3841	3634	6039	3233	3813	6953	4014	3422	3986	5172	4991	3227	3845	2696	1102	4964	7761	5160	3928	2057	9414	3728	1354
Syn	3051	5371	3009	11214	3266	2079	6891	4828	5739	2490	11396	5360	10974	6121	12321	5771	2926	3135	4866	5706	2669	9221	3849	7776	9005	4436	6502	4274	4164	5954	9422	8227	5275	7459	9774	4925	7452	9016	7726	8132	7308	8442	8306	8310	7603	5116	7013	5173	3751	7046	5251	5688	6485	2647	3435	4002	3359	3975	2764	5821	3318	2314	8412	5269	6933	5022	1516	5415	4029	506
Tbh	0	0	97	31	106	0	208	63	1143	58	29	162	500	455	6	86	16	51	147	392	0	3	12	25	6	0	0	10	0	29	18	28	111	41	26	9	37	73	45	66	20	85	3216	1496	16224	178	1270	2575	1261	1386	152	5969	0	0	0	0	0	0	0	0	0	0	0	0	0	179	17	517	0	0
Tob	3792	8472	4323	27244	3723	7174	6500	8060	5268	5021	20757	12450	19535	16439	11469	12453	14994	10895	12096	12289	9691	22469	16510	27654	26276	21744	21964	14067	8846	15265	22335	17424	16727	19455	24247	8775	19165	23492	19338	19897	17606	24156	6575	12909	8889	5070	9022	6989	6365	11494	6085	5512	6401	5004	4654	7797	2255	2660	1329	5361	2261	2345	5955	4837	2702	7578	1619	5480	3924	233
trp	646	668	210	48	475	2	83	30	219	1267	0	27	2	0	148	24	0	0	0	34	6	2	2	2	0	0	0	0	0	85	0	14	16	2	4	0	2	7	0	0	0	10	125	72	0	91	3978	3757	1	116	190	55	122	0	0	0	0	1	94	1	19	279	581	698	726	664	229	45	776	2018
Ube3a	2	163	2	650	48	1	28	22	5	197	0	0	0	0	79	33	155	122	87	549	37	113	184	201	111	75	122	226	205	99	140	253	226	316	185	51	253	325	188	147	115	349	0	50	0	0	471	146	201	0	2	11	352	1	215	196	301	1	264	0	0	0	283	22	87	0	130	25	0	3
vn	0	313	0	1	0	4	50	0	0	0	1	23	1	133	16	77	82	0	150	39	4	0	26	2	32	0	7	0	12	20	77	35	25	18	50	0	34	38	58	32	0	56	0	49	0	4	11	124	0	59	96	1	0	506	7	0	0	10	0	0	0	0	1	598	0	8	0	0	6	251
vsg	2712	3555	5633	5911	3294	4674	1313	12345	3382	1742	2735	1657	2633	1717	3390	1577	1796	2615	1265	3103	841	1964	1380	3829	2297	1309	1724	2087	1742	2032	2833	2798	1916	1969	2110	882	2053	3013	2231	2344	1399	3177	1474	2607	1894	2517	7247	2574	2161	2695	939	2173	6102	1139	2752	1727	2811	3433	1674	4158	3473	2457	1363	4866	2555	3324	1936	3316	1055	2761
w	3	58	24	40	86	0	29	8	19	31	60	2	3	53	160	174	355	64	111	227	75	180	123	746	194	376	166	352	250	209	473	1873	3119	602	831	165	876	1971	736	467	518	1180	38	161	166	0	130	161	2	11	1	353	0	8	7	217	0	11	0	0	90	69	604	877	154	189	10	792	1001	1
wg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	23	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
wnd	0	616	137	120	84	67	234	317	298	137	105	153	60	105	35	223	246	481	126	132	162	373	318	501	292	269	265	407	240	279	425	405	235	243	212	119	253	495	402	283	256	338	78	231	177	112	304	189	55	98	390	26	349	112	503	256	27	39	99	8	6	4	32	13	330	852	27	147	49	5
